Sample A,Sample B,U Statistic,p-value,Significant?
Arsine_5,Control_2_2min,3287.5,3.036516575128049e-08,✅
Diborane_3,TA_6,8376.0,3.055909034584395e-08,✅
HCHO_3,Phosphine_6,8375.5,3.0747849641199964e-08,✅
Diborane_7,SO2_4,8375.0,3.094152317121612e-08,✅
Phosphine_4,HCN_1,8372.5,3.191428449609188e-08,✅
HCHO_2,Phosgene_1,8294.0,3.477649603707623e-08,✅
Arsine_6,F2_6,3301.0,3.590038144981731e-08,✅
HCHO_3,Diborane_1,8362.0,3.6348494818101115e-08,✅
Arsine_7,MH-5,8355.0,3.9631151581651805e-08,✅
Phosphine_7,SO2_7,3309.0,3.9631885659097764e-08,✅
Diborane_7,Ammonia_2,8350.0,4.215222754279623e-08,✅
Diborane_3,Hydrazine_7,8348.0,4.3201695629451396e-08,✅
Diborane_3,Hydrazine_6,8347.0,4.3736288840293207e-08,✅
Diborane_7,HCN_3,8346.0,4.4276478826788435e-08,✅
Phosphine_5,MH-5,8344.0,4.537341681978857e-08,✅
Phosphine_3,SO2_1,8342.5,4.621940955651891e-08,✅
Arsine_5,SO2_7,3321.5,4.622068139799777e-08,✅
Arsine_7,HNO3_6,8342.0,4.650606871044035e-08,✅
Arsine_2,Diborane_7,3322.5,4.6785444476391216e-08,✅
Control_1_2min,Diborane_1,8341.0,4.7077662527652416e-08,✅
HCHO_4,Phosphine_1,3325.0,4.824268179892092e-08,✅
Phosphine_4,Ammonia_1,8332.5,5.224536024031555e-08,✅
Arsine_6,Phosgene_4,3337.0,5.587137390189948e-08,✅
Arsine_5,F2_7,3342.0,5.938770233520751e-08,✅
Diborane_7,Hydrazine_2,8318.0,6.235515075957036e-08,✅
Arsine_6,HCN_1,3346.5,6.271233287002018e-08,✅
Diborane_3,TA_3,8315.5,6.427875568975067e-08,✅
Diborane_7,HCN_7,8312.5,6.666196785828512e-08,✅
Control_2_2min,MH-7,8310.0,6.870671714888874e-08,✅
HCHO_2,Phosgene_7,8237.5,6.982267625467104e-08,✅
Phosphine_3,MH-1,8308.5,6.997309912311815e-08,✅
Diborane_7,TA_1,8307.5,7.082861539012993e-08,✅
F2_7,MH-7,8307.0,7.125507728819565e-08,✅
HCHO_7,Phosphine_3,3357.0,7.125762033984554e-08,✅
HCHO_2,Phosgene_5,8235.5,7.154919327939633e-08,✅
Phosphine_4,SO2_6,8306.0,7.212576733357862e-08,✅
Control_4_2min,MH-6,8305.5,7.255914730834418e-08,✅
Phosphine_5,HNO3_6,8303.0,7.478746373057437e-08,✅
HCHO_3,MH-5,8303.0,7.479278533909154e-08,✅
Phosphine_3,Phosgene_6,8301.5,7.616220539306805e-08,✅
Arsine_4,Arsine_5,8299.0,7.849545873923544e-08,✅
HCHO_6,Phosphine_3,3367.0,8.040777686787677e-08,✅
HCHO_2,H2S_7,8217.0,8.958224666352912e-08,✅
Diborane_4,Diborane_7,3376.0,8.962558761346369e-08,✅
Phosphine_3,MH-3,8287.0,9.070240840937261e-08,✅
Arsine_3,Phosphine_1,3378.0,9.178933910757549e-08,✅
HCHO_2,MH-1,8207.0,1.010952379716344e-07,✅
Control_5_2min,Phosphine_7,8273.5,1.0663630177950082e-07,✅
Diborane_3,Ammonia_3,8272.0,1.0857417148169575e-07,✅
Arsine_5,Control_6_2min,3393.5,1.1053363553980592e-07,✅
HCHO_2,Phosgene_2,8198.0,1.1266046329995789e-07,✅
Arsine_7,MH-4,8268.5,1.132018510060762e-07,✅
HCHO_2,Diborane_3,3360.5,1.1610168853868135e-07,✅
Arsine_6,Cl2_1,3399.0,1.1802423561605518e-07,✅
Diborane_6,MH-7,8265.0,1.1803340373952508e-07,✅
HCHO_2,SO2_1,8194.0,1.182040429848452e-07,✅
Arsine_2,HNO3_6,8264.0,1.1943391617482572e-07,✅
Arsine_5,Control_3_2min,3400.5,1.2015158605756627e-07,✅
Phosphine_1,MH-6,8262.5,1.2159631721916799e-07,✅
HCHO_2,HCHO_7,8191.5,1.2179825918139322e-07,✅
Phosphine_4,HCN_4,8260.5,1.2452457910043534e-07,✅
Diborane_7,Phosphine_5,8259.0,1.2676189358554873e-07,✅
HCHO_1,Control_4_2min,3406.5,1.290414019360108e-07,✅
Control_3_2min,MH-7,8256.5,1.3058603784296695e-07,✅
Arsine_2,MH-5,8254.5,1.3370625369674533e-07,✅
Phosphine_4,HCN_2,8254.5,1.3372342033258497e-07,✅
Diborane_7,Ammonia_7,8253.0,1.3614018506147078e-07,✅
Diborane_3,HNO3_5,8246.0,1.4791052439101937e-07,✅
Arsine_6,HCN_5,3419.0,1.4964256438036305e-07,✅
Diborane_3,Hydrazine_1,8245.0,1.4966671600705707e-07,✅
HCHO_2,MH-3,8173.0,1.5192869600666866e-07,✅
Diborane_3,DM_1,8243.0,1.5325150307624403e-07,✅
Diborane_7,HNO3_2,8242.5,1.5415699772734633e-07,✅
Arsine_7,Phosgene_1,8241.5,1.5598353757851542e-07,✅
Phosphine_4,HNO3_7,8240.5,1.5783768101838553e-07,✅
Phosphine_5,MH-4,8240.0,1.5875996720330883e-07,✅
Diborane_3,SO2_5,8239.0,1.60660950479322e-07,✅
Phosphine_4,Ammonia_2,8238.5,1.6161011353582996e-07,✅
Diborane_7,SO2_3,8236.0,1.6644767924678616e-07,✅
Arsine_4,MH-7,8235.5,1.6742423272048381e-07,✅
Control_3_2min,Phosphine_3,3429.0,1.6839355772704104e-07,✅
HCHO_1,Phosphine_1,3431.5,1.7345203424391097e-07,✅
Arsine_7,Diborane_7,3434.5,1.7967129801986728e-07,✅
Diborane_3,Hydrazine_4,8228.0,1.8288039458446992e-07,✅
Arsine_6,F2_2,3436.5,1.8393924203425398e-07,✅
HCHO_4,Arsine_6,8226.5,1.860342856984998e-07,✅
Arsine_6,HCN_4,3438.0,1.8716559937056519e-07,✅
HCHO_1,Arsine_6,8226.0,1.8720474355424188e-07,✅
Phosphine_4,TA_7,8225.5,1.8831456765485334e-07,✅
Diborane_7,Hydrazine_5,8224.5,1.9055013303889417e-07,✅
Phosphine_4,Hydrazine_2,8222.5,1.950707813984265e-07,✅
Phosphine_5,Phosgene_1,8217.0,2.0803276331318268e-07,✅
HCHO_3,MH-4,8214.5,2.1421228437941304e-07,✅
Diborane_3,Ammonia_4,8211.0,2.2316053555295598e-07,✅
Arsine_2,MH-4,8207.0,2.337469934219409e-07,✅
Arsine_7,Phosgene_5,8205.0,2.393190441582776e-07,✅
Control_6_2min,MH-7,8204.5,2.407101995078509e-07,✅
Diborane_3,Hydrazine_3,8203.0,2.449588687500153e-07,✅
HCHO_2,HCHO_6,8130.5,2.509163806115669e-07,✅
Diborane_7,TA_4,8200.5,2.521862828042879e-07,✅
Phosphine_1,Phosphine_6,8198.5,2.581080842340885e-07,✅
Control_4_2min,Phosphine_6,8193.5,2.735051117140247e-07,✅
Diborane_7,TA_6,8193.0,2.751191559100637e-07,✅
HCHO_4,SO2_7,3471.5,2.766860797957856e-07,✅
Diborane_7,Hydrazine_6,8192.0,2.7832276806358e-07,✅
Diborane_7,Hydrazine_7,8192.0,2.7832276806358e-07,✅
HCHO_2,Phosgene_6,8121.5,2.787443615598915e-07,✅
Control_7_2min,Phosphine_5,3472.5,2.7991187507848845e-07,✅
Diborane_7,Ammonia_5,8187.5,2.932034368720087e-07,✅
MH-7,SO2_7,3483.0,3.1605010969219956e-07,✅
Arsine_6,HCN_3,3484.0,3.1962519123501716e-07,✅
Control_4_2min,Diborane_1,8179.5,3.215425783443258e-07,✅
Diborane_7,SO2_2,8176.5,3.328748868481112e-07,✅
Phosphine_5,Phosgene_5,8174.5,3.4059736110443406e-07,✅
HCHO_2,Control_3_2min,8104.0,3.4158379300203104e-07,✅
Diborane_1,Phosphine_1,3492.0,3.5054024292303133e-07,✅
Arsine_3,SO2_7,3495.0,3.6281338997629014e-07,✅
Diborane_3,TA_5,8167.0,3.7126722762371865e-07,✅
